8100,Conflict: Denied Ops,2500
8140,Tomb Raider: Underworld,3400
8170,Battlestations Pacific,3400
8190,Just Cause 2,4800
8230,Sam & Max 104: Abe Lincoln Must Die!,free game
8310,Bone: Out From Boneville,free game
8320,Bone: The Great Cow Race,free game
8330,Telltale Texas Hold ‚ÄòEm,1500
8340,Strong Bad's Cool Game for Attractive People: Season 1,6800
8350,Strong Bad's Cool Game for Attractive People: Season 1,6800
8360,Strong Bad's Cool Game for Attractive People: Season 1,6800
8370,Strong Bad's Cool Game for Attractive People: Season 1,6800
8380,Strong Bad's Cool Game for Attractive People: Season 1,6800
8600,RACE 07,unknown
8790,GTR 2 FIA GT Racing Game,unknown
8850,BioShock¬Æ 2,6400
8870,BioShock Infinite,9500
8930,Sid Meier's Civilization¬Æ V,9500
8980,Borderlands,6400
9000,Spear of Destiny,2100
9010,Return to Castle Wolfenstein,3600
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2100
9040,QUAKE Mission Pack 1: Scourge of Armagon,2100
9050,DOOM 3,free game
9060,HeXen II,2100
9160,Master Levels for Doom II,free game
9180,Commander Keen,2100
9200,RAGE,6800
9219,RAGE,6800
9310,"Warhammer¬Æ 40,000: Dawn Of War¬Æ ‚Ä?Winter Assault",4200
9340,Company of Heroes: Opposing Fronts,6800
9350,Supreme Commander,4800
9420,Supreme Commander: Forged Alliance,4800
9450,"Warhammer¬Æ 40,000: Dawn of War¬Æ - Soulstorm",4200
9460,Frontlines‚Ñ? Fuel of War‚Ñ?6800,
9710,Desperados 2: Cooper's Revenge,3600
9730,Tycoon City: New York,3600
9760,Act of War: High Treason,1500
9800,Death to Spies,500
9850,Codename: Panzers - Cold War,4800
9870,Ghostbusters: The Videogame,3600
9880,Champions Online,free game
9900,Star Trek Online,free game
9930,Test Drive Unlimited 2,6800
9940,Blade Kitten,1500
9960,Haunted House‚Ñ?2500,
9970,Star Raiders,3600
9980,The UnderGarden,2800
9990,Ghostbusters: Sanctum of Slime,3600
10110,Space Quest‚Ñ?Collection,1700
10120,Aces of the Galaxy‚Ñ?3600,
10130,TimeShift‚Ñ?6800,
10150,Prototype‚Ñ?6800,
10220,Postal III,4800
10230,Dead Mountaineer's Hotel,3600
10240,A Stroke of Fate: Operation Valkyrie,3600
10250,PT Boats: Knights of the Sea,3600
10260,PT Boats: South Gambit,3600
10270,Disciples III: Reincarnation,6800
10400,SEGA Rally,unknown
10460,The Club‚Ñ?4800,
10500,Empire: Total War‚Ñ?6800,
10520,Beijing 2008‚Ñ?- The Official Video Game of the Olympic Games,unknown
10530,Space Siege,4800
11020,TrackMania Nations Forever,free game
11040,Sherlock Holmes - Nemesis,3600
11050,Dracula Origin,3600
11130,Sherlock Holmes: The Mystery of the Mummy,3600
11140,Sherlock Holmes: The Awakened - Remastered Edition,3600
11150,Sherlock Holmes: The Silver Earring,3600
11180,Sherlock Holmes: The Mystery of the Persian Carpet,3600
11190,Sherlock Holmes versus Jack the Ripper,3600
11200,Shadowgrounds Survivor,3600
11230,Gumboy Tournament,1500
11240,Space Trader: Merchant Marine,2100
11250,Pacific Storm,600
11260,Pacific Storm Allies,600
11280,Penguins Arena: Sedna's World,2500
11330,Obulis,2100
11340,Larva Mortus,2100
11360,Chains,2100
11370,Nikopol: Secrets of the Immortals,2100
11390,Crash Time 2,3600
11450,Overlord‚Ñ?2100,
11480,Soldiers: Heroes of World War II,2100
11560,Maelstrom: The Battle for Earth Begins,2100
11590,Hospital Tycoon,2100
12100,Grand Theft Auto III,6300
12120,Grand Theft Auto: San Andreas,7600
12130,Manhunt,6300
12140,Max Payne,6300
12150,Max Payne 2: The Fall of Max Payne,6300
12160,Midnight Club 2,6300
12170,Grand Theft Auto,free game
12180,Grand Theft Auto 2,free game
12200,Bully: Scholarship Edition,6300
12210,Grand Theft Auto IV,9500
12220,Grand Theft Auto: Episodes from Liberty City,9500
12310,Culpa Innata,700
12320,Sacred Gold,3600
12330,Darkstar One,3100
12340,Jack Keane,unknown
12360,FlatOut: Ultimate Carnage,6800
12370,Jagged Alliance 2 Gold,6800
12380,Jagged Alliance 2 Gold,6800
12390,Exodus from the Earth ,4800
12420,Perimeter 2: New Earth,4800
12430,SlamIt Pinball Big Score,2100
12440,Ankh 2: Heart of Osiris ,2100
12450,Ankh 3: Battle of the Gods,3600
12460,BC Kings,2100
12470,Port Royale 2,2100
12480,9th Company: Roots Of Terror,3600
12500,PuzzleQuest: Challenge of the Warlords,3600
12510,Prison Tycoon 3‚Ñ? Lockdown,unknown
12520,18 Wheels of Steel: American Long Haul,3600
12530,Hunting Unlimited‚Ñ?2008,unknown
12540,Mahjongg Investigations: Under Suspicion,unknown
12560,Ride! Carnival Tycoon,unknown
12570,Hot Dish,unknown
12580,Dr. Daisy Pet Vet,unknown
12590,Sprint Cars Road to Knoxville,unknown
12600,Midnight Outlaw: 6 Hours to SunUp,unknown
12630,Legend - Hand of God,unknown
12640,Drakensang,unknown
12670,Mission Runway,unknown
12690,Hunting Unlimited 2010,unknown
12710,Overlord‚Ñ? Raising Hell,3600
12750,GRID‚Ñ?4800,
12770,Rise of the Argonauts,3600
12810,Overlord II,3600
12830,Operation Flashpoint: Dragon Rising,3600
12900,AudioSurf,3600
13000,Ninja Reflex: Steamworks Edition,unknown
13140,America's Army 3,free game
13200,Unreal 2: The Awakening,4800
13210,Unreal Tournament 3 Black,6800
13230,Unreal Tournament 2004: Editor's Choice Edition,4800
13240,Unreal Tournament: Game of the Year Edition,3600
13250,Unreal Gold,3600
13500,Prince of Persia: Warrior Within‚Ñ?4800,
13520,Far Cry¬Æ,4800
13530,Prince of Persia: The Two Thrones‚Ñ?4800,
13540,Tom Clancy's Rainbow Six¬Æ Vegas,4800
13560,Tom Clancy's Splinter Cell¬Æ,2000
13570,Tom Clancy's Splinter Cell Chaos Theory¬Æ,4800
13580,Tom Clancy's Splinter Cell Double Agent¬Æ,4800
13600,Prince of Persia¬Æ: The Sands of Time,4800
13620,Tom Clancy's Ghost Recon¬Æ Desert Siege‚Ñ?2000,
13630,Tom Clancy's Ghost Recon¬Æ Island Thunder‚Ñ?2000,
17580,Dystopia,free game
21980,Call of Juarez¬Æ: Bound in Blood,4800
22130,Hearts of Iron 2 Complete,4800
22140,Penumbra: Requiem,unknown
22380,Fallout: New Vegas,3600
22650,Alien Breed 2: Assault,3600
23310,The Last Remnant‚Ñ?3600,
23420,Europa Universalis: Rome - Gold Edition ,3600
23460,Ceville,3600
23490,Tropico 3 - Steam Special Edition,3600
23600,Depths of Peril,3600
24460,King Arthur: Fallen Champions,2100
33620,Crash Time 3,3600
